"step","io_out_9_bits_score","io_out_9_bits_x","io_out_9_bits_y"
"38","0","0","9"
"42","2","1","9"
"46","0","2","9"
"50","2","3","9"
"54","0","4","9"
"58","1","5","9"
"62","0","6","9"
"66","1","7","9"
"70","0","8","9"
"74","0","9","9"
"78","0","10","9"
"82","1","11","9"
"86","0","12","9"
"90","1","13","9"
"94","3","14","9"
"98","1","15","9"
"102","2","16","9"
"106","0","17","9"
"110","0","18","9"
"114","1","19","9"
"118","2","20","9"
