"step","io_out_2_bits_score","io_out_2_bits_x","io_out_2_bits_y"
"10","1","0","2"
"14","2","1","2"
"18","2","2","2"
"22","2","3","2"
"26","0","4","2"
"30","0","5","2"
"34","0","6","2"
"38","0","7","2"
"42","0","8","2"
"46","1","9","2"
"50","2","10","2"
"54","2","11","2"
"58","0","12","2"
"62","0","13","2"
"66","0","14","2"
"70","0","15","2"
"74","0","16","2"
"78","0","17","2"
"82","0","18","2"
"86","0","19","2"
"90","0","20","2"
