"step","io_out_10_bits_score","io_out_10_bits_x","io_out_10_bits_y"
"42","0","0","10"
"46","0","1","10"
"50","1","2","10"
"54","0","3","10"
"58","1","4","10"
"62","0","5","10"
"66","0","6","10"
"70","0","7","10"
"74","2","8","10"
"78","1","9","10"
"82","0","10","10"
"86","1","11","10"
"90","0","12","10"
"94","0","13","10"
"98","1","14","10"
"102","2","15","10"
"106","0","16","10"
"110","3","17","10"
"114","1","18","10"
"118","0","19","10"
"122","0","20","10"
