"step","io_out_6_bits_score","io_out_6_bits_x","io_out_6_bits_y"
"26","1","0","6"
"30","0","1","6"
"34","1","2","6"
"38","0","3","6"
"42","0","4","6"
"46","0","5","6"
"50","0","6","6"
"54","0","7","6"
"58","0","8","6"
"62","1","9","6"
"66","2","10","6"
"70","0","11","6"
"74","0","12","6"
"78","1","13","6"
"82","0","14","6"
"86","1","15","6"
"90","0","16","6"
"94","1","17","6"
"98","2","18","6"
"102","2","19","6"
"106","1","20","6"
