"step","io_out_11_bits_score","io_out_11_bits_x","io_out_11_bits_y"
"46","0","0","11"
"50","0","1","11"
"54","0","2","11"
"58","0","3","11"
"62","0","4","11"
"66","3","5","11"
"70","1","6","11"
"74","0","7","11"
"78","0","8","11"
"82","0","9","11"
"86","0","10","11"
"90","0","11","11"
"94","0","12","11"
"98","0","13","11"
"102","0","14","11"
"106","0","15","11"
"110","0","16","11"
"114","0","17","11"
"118","0","18","11"
"122","0","19","11"
"126","0","20","11"
