"step","io_out_7_bits_score","io_out_7_bits_x","io_out_7_bits_y"
"30","0","0","7"
"34","0","1","7"
"38","0","2","7"
"42","0","3","7"
"46","0","4","7"
"50","1","5","7"
"54","0","6","7"
"58","0","7","7"
"62","1","8","7"
"66","1","9","7"
"70","0","10","7"
"74","1","11","7"
"78","0","12","7"
"82","0","13","7"
"86","0","14","7"
"90","0","15","7"
"94","3","16","7"
"98","1","17","7"
"102","2","18","7"
"106","0","19","7"
"110","2","20","7"
