"step","io_out_5_bits_score","io_out_5_bits_x","io_out_5_bits_y"
"22","0","0","5"
"26","0","1","5"
"30","1","2","5"
"34","0","3","5"
"38","2","4","5"
"42","1","5","5"
"46","0","6","5"
"50","0","7","5"
"54","0","8","5"
"58","0","9","5"
"62","3","10","5"
"66","4","11","5"
"70","2","12","5"
"74","0","13","5"
"78","0","14","5"
"82","0","15","5"
"86","1","16","5"
"90","0","17","5"
"94","0","18","5"
"98","0","19","5"
"102","1","20","5"
