"step","io_out_13_bits_score","io_out_13_bits_x","io_out_13_bits_y"
"54","0","0","13"
"58","0","1","13"
"62","0","2","13"
"66","0","3","13"
"70","3","4","13"
"74","1","5","13"
"78","0","6","13"
"82","0","7","13"
"86","0","8","13"
"90","0","9","13"
"94","3","10","13"
"98","1","11","13"
"102","1","12","13"
"106","0","13","13"
"110","0","14","13"
"114","0","15","13"
"118","3","16","13"
"122","2","17","13"
"126","0","18","13"
"130","2","19","13"
"134","5","20","13"
