"step","io_out_4_bits_score","io_out_4_bits_x","io_out_4_bits_y"
"18","0","0","4"
"22","2","1","4"
"26","0","2","4"
"30","1","3","4"
"34","2","4","4"
"38","0","5","4"
"42","1","6","4"
"46","1","7","4"
"50","0","8","4"
"54","2","9","4"
"58","3","10","4"
"62","1","11","4"
"66","0","12","4"
"70","1","13","4"
"74","0","14","4"
"78","0","15","4"
"82","0","16","4"
"86","1","17","4"
"90","0","18","4"
"94","0","19","4"
"98","0","20","4"
