"step","io_out_1_bits_score","io_out_1_bits_x","io_out_1_bits_y"
"6","0","0","1"
"10","1","1","1"
"14","0","2","1"
"18","0","3","1"
"22","0","4","1"
"26","0","5","1"
"30","1","6","1"
"34","2","7","1"
"38","0","8","1"
"42","0","9","1"
"46","0","10","1"
"50","0","11","1"
"54","0","12","1"
"58","1","13","1"
"62","0","14","1"
"66","0","15","1"
"70","0","16","1"
"74","1","17","1"
"78","0","18","1"
"82","0","19","1"
"86","0","20","1"
