"step","io_out_4_bits_score","io_out_4_bits_x","io_out_4_bits_y"
"6","0","0","4"
"9","2","1","4"
"12","0","2","4"
"15","1","3","4"
"18","2","4","4"
"21","0","5","4"
"24","1","6","4"
"27","1","7","4"
"30","0","8","4"
"33","2","9","4"
"36","3","10","4"
"39","1","11","4"
"42","0","12","4"
"45","1","13","4"
"48","0","14","4"
"51","0","15","4"
"54","0","16","4"
"57","1","17","4"
"60","0","18","4"
"63","0","19","4"
"66","0","20","4"
