"step","io_out_8_bits_score","io_out_8_bits_x","io_out_8_bits_y"
"10","0","0","8"
"13","0","1","8"
"16","0","2","8"
"19","0","3","8"
"22","2","4","8"
"25","0","5","8"
"28","0","6","8"
"31","1","7","8"
"34","0","8","8"
"37","0","9","8"
"40","2","10","8"
"43","1","11","8"
"46","1","12","8"
"49","0","13","8"
"52","1","14","8"
"55","0","15","8"
"58","3","16","8"
"61","1","17","8"
"64","0","18","8"
"67","0","19","8"
"70","3","20","8"
