"step","io_out_0_bits_score","io_out_0_bits_x","io_out_0_bits_y"
"2","0","0","0"
"6","0","1","0"
"10","0","2","0"
"14","0","3","0"
"18","0","4","0"
"22","1","5","0"
"26","0","6","0"
"30","0","7","0"
"34","1","8","0"
"38","1","9","0"
"42","0","10","0"
"46","0","11","0"
"50","0","12","0"
"54","0","13","0"
"58","0","14","0"
"62","0","15","0"
"66","1","16","0"
"70","0","17","0"
"74","0","18","0"
"78","0","19","0"
"82","1","20","0"
"





"10"
"122","0","20","10"




