"step","io_out_9_bits_score","io_out_9_bits_x","io_out_9_bits_y"
"11","1","0","9"
"14","0","1","9"
"17","1","2","9"
"20","0","3","9"
"23","0","4","9"
"26","0","5","9"
"29","0","6","9"
"32","0","7","9"
"35","0","8","9"
"38","0","9","9"
"41","1","10","9"
"44","0","11","9"
"47","0","12","9"
"50","2","13","9"
"53","0","14","9"
"56","1","15","9"
"59","1","16","9"
"62","0","17","9"
"65","1","18","9"
"68","0","19","9"
"71","0","20","9"
