"step","io_out_2_bits_score","io_out_2_bits_x","io_out_2_bits_y"
"4","0","0","2"
"7","1","1","2"
"10","1","2","2"
"13","0","3","2"
"16","0","4","2"
"19","1","5","2"
"22","0","6","2"
"25","0","7","2"
"28","1","8","2"
"31","1","9","2"
"34","0","10","2"
"37","0","11","2"
"40","1","12","2"
"43","2","13","2"
"46","0","14","2"
"49","0","15","2"
"52","0","16","2"
"55","0","17","2"
"58","0","18","2"
"61","0","19","2"
"64","0","20","2"
