"step","io_out_bits"
"6","-213392137"
"13","1008701482"
"20","-229740760"
"27","-1425167634"
"34","390838399"
"41","-761138086"
"48","-1789100809"
"55","303861626"
"62","1946747608"
"69","684887036"
