"step","io_out_bits"
"6","1795058436"
"13","1171530636"
"20","2136836663"
"27","-286922084"
"34","1836930890"
"41","-1469171194"
"48","-917052536"
"55","655571795"
"62","-1931483728"
"69","685510696"
