"step","io_out_bits"
"6","-213392137"
"14","1008701482"
"22","-229740760"
"30","-1425167634"
"38","390838399"
"46","-761138086"
"54","-1789100809"
"62","303861626"
"70","1946747608"
"78","684887036"
