"step","io_out_bits_score","io_out_bits_x","io_out_bits_y"
"567","0","3","13"
"569","3","4","13"
"571","1","5","13"
"573","0","6","13"
"575","0","7","13"
"577","0","8","13"
"579","0","9","13"
"581","3","10","13"
"583","1","11","13"
"585","1","12","13"
"587","0","13","13"
"589","0","14","13"
"591","0","15","13"
"593","3","16","13"
"595","2","17","13"
"597","0","18","13"
"599","2","19","13"
"601","5","20","13"
"604","0","0","14"
"606","1","1","14"
"608","0","2","14"
"610","0","3","14"
"612","1","4","14"
"614","2","5","14"
"616","2","6","14"
"618","1","7","14"
"620","0","8","14"
"622","0","9","14"
"624","1","10","14"
"626","2","11","14"
"628","0","12","14"
"630","2","13","14"
"632","0","14","14"
"634","0","15","14"
"636","1","16","14"
"638","4","17","14"
"640","2","18","14"
"642","0","19","14"
"644","3","20","14"
